שם ספק,עסק,unique id,תאריך התשלום,סוג אמצעי תשלום,סכום לכל תשלום,כמות תשלומים,מספר תשלום,מס' צ'ק,אסמכתא,הערות
משק דוד - ירקות,הדגמה,,05/01/2025,העברה בנקאית,4956,1,1,,TRF-001,תשלום חשבונית 1001
משק דוד - ירקות,הדגמה,,12/01/2025,העברה בנקאית,4484,1,1,,TRF-002,
משק דוד - ירקות,הדגמה,,19/01/2025,העברה בנקאית,5310,1,1,,TRF-003,
משק דוד - ירקות,הדגמה,,26/01/2025,העברה בנקאית,4838,1,1,,TRF-004,
שוק הדגים,הדגמה,FISH-001,07/01/2025,צ'ק,10030,1,1,5001,,סלמון + לברק - תשלום מפוצל בין צ'ק למזומן
שוק הדגים,הדגמה,,14/01/2025,צ'ק,8496,1,1,5002,,
שוק הדגים,הדגמה,,21/01/2025,צ'ק,10738,1,1,5003,,
שוק הדגים,הדגמה,,28/01/2025,צ'ק,10384,1,1,5004,,
מאפיית הזהב,הדגמה,,10/01/2025,מזומן,2124,1,1,,,
מאפיית הזהב,הדגמה,,25/01/2025,מזומן,1947,1,1,,,
תנובה,הדגמה,TNV-001,05/01/2025,כרטיס אשראי,6490,1,1,,,חשבונית 5001 - מפוצל ל-3 תשלומי אשראי
תנובה,הדגמה,,20/01/2025,העברה בנקאית,5664,1,1,,TRF-010,
חברת הניקיון פלוס,הדגמה,,03/01/2025,הוראת קבע,3500,1,1,,,ניקיון חודשי
חשמל ישראל,הדגמה,,15/01/2025,הוראת קבע,8000,1,1,,,חשמל ינואר
בזק תקשורת,הדגמה,,08/01/2025,הוראת קבע,450,1,1,,,
ביטוח כלל,הדגמה,,18/01/2025,הוראת קבע,2200,1,1,,,ביטוח חודשי
רואה חשבון שלום,הדגמה,,05/01/2025,העברה בנקאית,4000,1,1,,TRF-020,הנהח״ש ינואר
קוקה קולה ישראל,הדגמה,COCA-001,15/01/2025,כרטיס אשראי,3776,1,1,,,חשבונית 4001 - מפוצל ל-2 תשלומי אשראי
